Airline,Duration,stops,class,depature time,arrival time,Price,Season,Source_CMN,Source_IST,Source_PAR,Source_ROM,Destination_CMN,Destination_IST,Destination_PAR,Destination_ROM
19,400.0,1,0,2,3,4641.0,2,0,0,0,1,1,0,0,0
29,210.0,0,1,2,5,1919.19,3,0,0,1,0,0,1,0,0
20,230.0,0,1,4,0,1089.27,1,0,1,0,0,0,0,1,0
16,395.0,1,1,1,0,2511.6,3,0,0,0,1,1,0,0,0
4,375.0,1,0,4,2,6115.2,2,1,0,0,0,0,0,0,1
16,335.0,1,0,1,4,4368.0,2,0,0,0,1,0,0,1,0
16,355.0,1,1,0,5,4231.5,3,0,0,0,1,1,0,0,0
0,320.0,1,0,4,2,9333.87,3,0,0,0,1,0,1,0,0
16,450.0,1,0,0,5,4335.24,3,0,0,0,1,0,0,1,0
19,475.0,2,0,4,2,7507.5,2,0,0,0,1,0,1,0,0
21,185.0,0,1,2,5,3439.8,2,0,0,1,0,1,0,0,0
21,440.0,1,1,0,5,3341.52,1,1,0,0,0,0,0,0,1
28,405.0,1,1,3,4,2850.12,3,1,0,0,0,0,0,0,1
20,505.0,1,1,4,0,2096.64,2,0,1,0,0,0,0,0,1
21,270.0,0,1,3,4,5760.3,2,1,0,0,0,0,1,0,0
4,210.0,0,0,0,0,6169.8,1,0,0,1,0,0,1,0,0
23,360.0,1,1,4,0,2839.2,2,0,0,0,1,1,0,0,0
12,450.0,1,0,2,3,10136.49,0,0,0,0,1,0,1,0,0
0,505.0,1,0,4,5,8001.63,0,0,0,0,1,0,1,0,0
18,360.0,1,1,0,2,2238.6,2,0,1,0,0,0,0,1,0
16,245.0,1,1,0,2,2566.2,1,1,0,0,0,0,0,1,0
4,525.0,1,1,0,5,2375.1,3,0,0,0,1,1,0,0,0
16,315.0,1,0,4,0,4586.4,0,0,0,1,0,0,0,0,1
16,420.0,1,0,4,2,4310.67,1,1,0,0,0,0,0,0,1
6,295.0,1,0,4,0,3658.2,0,0,0,1,0,0,1,0,0
23,365.0,1,1,2,3,1561.56,1,1,0,0,0,0,0,0,1
17,405.0,1,0,2,5,7753.2,1,0,1,0,0,0,0,0,1
0,270.0,1,0,4,0,9118.2,0,0,0,0,1,0,1,0,0
19,570.0,2,0,4,2,24182.34,0,0,0,1,0,1,0,0,0
6,300.0,1,1,2,5,1487.85,3,0,1,0,0,0,0,1,0
19,505.0,1,1,2,3,4728.36,2,0,1,0,0,1,0,0,0
15,380.0,1,1,0,5,3224.13,3,0,0,1,0,1,0,0,0
21,190.0,0,0,0,0,7343.7,0,1,0,0,0,0,0,0,1
29,220.0,0,0,1,4,13486.2,2,0,1,0,0,0,0,1,0
29,220.0,0,0,4,0,10537.8,0,0,1,0,0,0,0,1,0
19,500.0,2,1,0,5,2811.9,0,1,0,0,0,0,0,0,1
29,545.0,1,1,4,0,3166.8,0,0,0,0,1,1,0,0,0
20,230.0,0,1,0,0,1291.29,1,0,1,0,0,0,0,1,0
6,300.0,1,0,0,2,2323.23,1,0,1,0,0,0,0,0,1
29,210.0,0,0,2,5,12896.52,3,0,0,1,0,0,1,0,0
28,570.0,1,0,3,0,6388.2,1,1,0,0,0,0,0,0,1
33,415.0,1,1,4,0,2680.86,1,0,0,0,1,1,0,0,0
29,220.0,0,0,4,4,12645.36,2,0,1,0,0,0,0,1,0
29,215.0,0,1,2,5,1572.48,1,0,0,1,0,0,1,0,0
2,280.0,0,1,0,5,1668.03,3,1,0,0,0,0,1,0,0
21,190.0,0,0,2,5,7379.19,2,0,0,1,0,1,0,0,0
12,515.0,1,1,0,3,6385.47,1,1,0,0,0,0,1,0,0
20,555.0,1,1,0,5,3259.62,0,0,0,0,1,1,0,0,0
20,555.0,1,1,0,5,2055.69,0,0,0,0,1,1,0,0,0
16,365.0,1,1,4,0,2271.36,3,0,0,1,0,1,0,0,0
6,320.0,1,1,0,5,1509.69,0,0,1,0,0,0,0,1,0
29,215.0,0,1,4,0,3947.58,3,0,0,1,0,0,1,0,0
4,185.0,0,0,0,0,8976.24,3,0,0,1,0,1,0,0,0
