Airline,Source,Destination,Duration,stops,class,depature time,arrival time,Price,Date,Season
Air France,ROM,CMN,585,1,business,Afternoon,Night,6415.5,2024-03-17,Spring
Air France,CMN,ROM,390,1,business,Morning,Afternoon,9604.14,2024-01-12,Winter
British Airways,PAR,IST,705,1,business,Morning,Late Night,4559.1,2024-11-05,Autumn
ITA Airways,ROM,PAR,130,0,business,Afternoon,Evening,4368.0,2023-12-09,Winter
Air France,CMN,ROM,380,1,business,Afternoon,Night,9604.14,2024-04-18,Spring
KLM,CMN,ROM,685,2,business,Morning,Night,11193.0,2024-04-18,Spring
TAP Portugal,CMN,ROM,1315,1,business,Morning,Morning,3931.2,2024-08-16,Summer
ITA Airways,ROM,PAR,130,0,business,Morning,Morning,3882.06,2024-05-29,Spring
Air Algerie,IST,ROM,780,1,business,Late Night,Afternoon,5615.61,2024-09-03,Autumn
LOT,PAR,IST,520,1,business,Morning,Afternoon,3671.85,2024-06-01,Summer
Aegean Airlines,ROM,IST,390,1,business,Afternoon,Night,8528.52,2024-05-29,Spring
Lufthansa,ROM,PAR,255,1,economy,Evening,Night,2481.57,2024-08-16,Summer
